Team,Wins,Losses,Ties
"Abkhazia","2","2","2"
"Afghanistan","8","17","8"
"Albania","44","47","31"
"Alderney","0","2","1"
"Algeria","124","104","91"
"Ambazonia","0","1","1"
"American Samoa","0","1","0"
"Andalusia","8","1","4"
"Andorra","5","38","10"
"Angola","49","55","73"
"Anguilla","2","11","2"
"Antigua and Barbuda","21","26","14"
"Argentina","379","130","159"
"Armenia","21","38","17"
"Artsakh","1","0","1"
"Aruba","10","28","16"
"Asturias","1","0","0"
"Australia","139","113","67"
"Austria","203","200","116"
"Azerbaijan","37","48","40"
"Bahamas","2","5","0"
"Bahrain","80","82","57"
"Bangladesh","17","21","20"
"Barawa","1","3","0"
"Barbados","40","61","36"
"Basque Country","38","9","11"
"Belarus","44","45","37"
"Belgium","206","212","115"
"Belize","9","7","7"
"Benin","27","77","40"
"Bermuda","20","39","14"
"Bhutan","2","11","0"
"Bolivia","56","162","69"
"Bonaire","0","0","1"
"Bosnia and Herzegovi","26","40","24"
"Botswana","44","54","47"
"Brazil","484","119","144"
"British Virgin Islan","10","14","5"
"Brittany","5","2","3"
"Brunei","4","10","0"
"Bulgaria","117","153","108"
"Burkina Faso","72","105","75"
"Burundi","12","21","13"
"Cambodia","12","39","10"
"Cameroon","115","99","117"
"Canada","62","105","42"
"Canary Islands","3","1","0"
"Cape Verde","22","20","19"
"Cascadia","1","0","0"
"Catalonia","19","17","12"
"Cayman Islands","2","15","1"
"Central African Repu","4","17","4"
"Central Spain","1","1","0"
"Chad","4","14","5"
"Chagos Islands","2","6","1"
"Chechnya","0","2","1"
"Chile","211","222","117"
"China PR","148","119","81"
"Cilento","0","1","0"
"Colombia","161","124","104"
"Comoros","9","9","6"
"Congo","51","72","44"
"Cook Islands","1","2","2"
"Corsica","3","1","3"
"Costa Rica","85","114","75"
"Croatia","94","48","55"
"Cuba","32","58","38"
"Curaçao","59","38","34"
"Cyprus","24","58","28"
"Czech Republic","74","51","34"
"Czechoslovakia","135","116","72"
"DR Congo","79","100","86"
"Denmark","172","157","87"
"Djibouti","2","17","2"
"Dominica","16","22","3"
"Dominican Republic","12","18","4"
"Donetsk PR","2","2","2"
"Ecuador","112","172","103"
"Egypt","200","123","102"
"El Salvador","51","126","64"
"Elba Island","1","0","0"
"Ellan Vannin","2","1","1"
"England","277","113","135"
"Equatorial Guinea","16","22","19"
"Eritrea","2","5","2"
"Estonia","79","125","68"
"Eswatini","23","59","35"
"Ethiopia","64","59","34"
