date,home_team,away_team,home_score,away_score,neutral,Winner,Tournament,city,Country
"04MAY1955","Scotland","Portugal","3","0","FALSE","Scotland","Friendly","Glasgow","Scotland"
"09NOV2017","Scotland","Netherlands","0","1","FALSE","Netherla","Friendly","Aberdeen","Scotland"
"26APR1972","Scotland","Peru","2","0","FALSE","Scotland","Friendly","Glasgow","Scotland"
"19MAY1990","Scotland","Poland","1","1","FALSE","Tie","Friendly","Glasgow","Scotland"
"07MAY1958","Scotland","Hungary","1","1","FALSE","Tie","Friendly","Glasgow","Scotland"
"15NOV2013","Scotland","United States","0","0","FALSE","Tie","Friendly","Glasgow","Scotland"
"07DEC1938","Scotland","Hungary","3","1","FALSE","Scotland","Friendly","Glasgow","Scotland"
"26MAR2024","Scotland","Northern Ireland","0","1","FALSE","Northern","Friendly","Glasgow","Scotland"
"14OCT1936","Scotland","Germany","2","0","FALSE","Scotland","Friendly","Glasgow","Scotland"
"23MAR2018","Scotland","Costa Rica","0","1","FALSE","Costa Ri","Friendly","Glasgow","Scotland"
"25MAR1998","Scotland","Denmark","0","1","FALSE","Denmark","Friendly","Glasgow","Scotland"
"04JUN2006","Ghana","South Korea","3","1","TRUE","Ghana","Friendly","Edinburgh","Scotland"
"15AUG2012","Scotland","Australia","3","1","FALSE","Scotland","Friendly","Edinburgh","Scotland"
"21NOV1956","Scotland","Yugoslavia","2","0","FALSE","Scotland","Friendly","Glasgow","Scotland"
"30APR1952","Scotland","United States","6","0","FALSE","Scotland","Friendly","Glasgow","Scotland"
"15OCT2002","Scotland","Canada","3","1","FALSE","Scotland","Friendly","Edinburgh","Scotland"
"07APR1976","Scotland","Switzerland","1","0","FALSE","Scotland","Friendly","Glasgow","Scotland"
"25MAR1992","Scotland","Finland","1","1","FALSE","Tie","Friendly","Glasgow","Scotland"
"23MAR1994","Scotland","Netherlands","0","1","FALSE","Netherla","Friendly","Glasgow","Scotland"
"30APR2003","Scotland","Austria","0","2","FALSE","Austria","Friendly","Glasgow","Scotland"
"07SEP2018","Scotland","Belgium","0","4","FALSE","Belgium","Friendly","Glasgow","Scotland"
"23MAR1982","Scotland","Netherlands","2","1","FALSE","Scotland","Friendly","Glasgow","Scotland"
"14OCT2018","Scotland","Portugal","1","3","FALSE","Portugal","Friendly","Glasgow","Scotland"
"24MAR2022","Scotland","Poland","1","1","FALSE","Tie","Friendly","Glasgow","Scotland"
"29JUN2021","Sweden","Ukraine","1","2","TRUE","Ukraine","UEFA Euro","Glasgow","Scotland"
"26APR1950","Scotland","Switzerland","3","1","FALSE","Scotland","Friendly","Glasgow","Scotland"
"15MAY1946","Scotland","Switzerland","3","1","FALSE","Scotland","Friendly","Glasgow","Scotland"
"06FEB1991","Scotland","Russia","0","1","FALSE","Russia","Friendly","Glasgow","Scotland"
"08MAY1963","Scotland","Austria","4","1","FALSE","Scotland","Friendly","Glasgow","Scotland"
"12MAY1951","Scotland","Denmark","3","1","FALSE","Scotland","Friendly","Glasgow","Scotland"
"06FEB2013","Scotland","Estonia","1","0","FALSE","Scotland","Friendly","Aberdeen","Scotland"
"27APR1977","Scotland","Sweden","3","1","FALSE","Scotland","Friendly","Glasgow","Scotland"
"10MAY1967","Scotland","Russia","0","2","FALSE","Russia","Friendly","Glasgow","Scotland"
"13DEC1950","Scotland","Austria","0","1","FALSE","Austria","Friendly","Glasgow","Scotland"
"27APR1949","Scotland","France","2","0","FALSE","Scotland","Friendly","Glasgow","Scotland"
"22MAR2017","Scotland","Canada","1","1","FALSE","Tie","Friendly","Edinburgh","Scotland"
"27MAY2003","Scotland","New Zealand","1","1","FALSE","Tie","Friendly","Edinburgh","Scotland"
"02MAY1962","Scotland","Uruguay","2","3","FALSE","Uruguay","Friendly","Glasgow","Scotland"
"30OCT1974","Scotland","German DR","3","0","FALSE","Scotland","Friendly","Glasgow","Scotland"
"31MAR2004","Scotland","Romania","1","2","FALSE","Romania","Friendly","Glasgow","Scotland"
"25APR1990","Scotland","German DR","0","1","FALSE","German D","Friendly","Glasgow","Scotland"
"28APR1948","Scotland","Belgium","2","0","FALSE","Scotland","Friendly","Glasgow","Scotland"
"08SEP1976","Scotland","Finland","6","0","FALSE","Scotland","Friendly","Glasgow","Scotland"
"18JUN1966","Scotland","Portugal","0","1","FALSE","Portugal","Friendly","Glasgow","Scotland"
"07JUN2024","Scotland","Finland","2","2","FALSE","Tie","Friendly","Glasgow","Scotland"
"14FEB1973","Scotland","England","0","5","FALSE","England","Friendly","Glasgow","Scotland"
"12SEP1984","Scotland","Yugoslavia","6","1","FALSE","Scotland","Friendly","Glasgow","Scotland"
"27MAY1997","Scotland","Wales","0","1","FALSE","Wales","Friendly","Kilmarnock","Scotland"
"14JUN2021","Scotland","Czech Republic","0","2","FALSE","Czech Re","UEFA Euro","Glasgow","Scotland"
"24MAR1993","Scotland","Germany","0","1","FALSE","Germany","Friendly","Glasgow","Scotland"
"06MAY1953","Scotland","Sweden","1","2","FALSE","Sweden","Friendly","Glasgow","Scotland"
"21AUG2002","Scotland","Denmark","0","1","FALSE","Denmark","Friendly","Glasgow","Scotland"
"08DEC1937","Scotland","Czechoslovakia","5","0","FALSE","Scotland","Friendly","Glasgow","Scotland"
"30JUN1973","Scotland","Brazil","0","1","FALSE","Brazil","Friendly","Glasgow","Scotland"
"02JUN1979","Scotland","Argentina","1","3","FALSE","Argentin","Friendly","Glasgow","Scotland"
"14NOV1973","Scotland","Germany","1","1","FALSE","Tie","Friendly","Glasgow","Scotland"
"27MAR1996","Scotland","Australia","1","0","FALSE","Scotland","Friendly","Glasgow","Scotland"
"09SEP1987","Scotland","Hungary","2","0","FALSE","Scotland","Friendly","Glasgow","Scotland"
"12NOV2005","Scotland","United States","1","1","FALSE","Tie","Friendly","Glasgow","Scotland"
"22JUN2021","Scotland","Croatia","1","3","FALSE","Croatia","UEFA Euro","Glasgow","Scotland"
"16OCT1985","Scotland","German DR","0","0","FALSE","Tie","Friendly","Glasgow","Scotland"
"05MAY1954","Scotland","Norway","1","0","FALSE","Scotland","Friendly","Glasgow","Scotland"
"12SEP2023","Scotland","England","1","3","FALSE","England","Friendly","Glasgow","Scotland"
